id;eu_p;enc;fac;ine;imp;esf;dif;sol;sai;adv;corpo_kk;corpo_g_kk
76;2;4;2;4;3;3;4;4;3;3;6;5
77;3;4;3;3;3;3;4;3;4;3;3;5
78;2;4;4;3;3;3;4;3;3;3;7;5
79;3;2;3;2;4;4;3;1;2;2;8;3
80;4;4;4;3;3;4;4;2;3;4;5;3
81;1;3;1;2;2;3;4;1;2;3;1;2
82;3;3;2;3;3;3;2;2;2;3;2;3
83;3;3;2;3;3;3;2;2;2;3;3;4
84;3;4;3;2;4;4;4;4;3;2;5;5
85;3;2;3;1;3;4;3;4;4;2;4;3
86;3;2;4;2;3;2;3;4;3;3;5;5
87;2;2;2;3;4;2;1;3;3;2;4;5
88;2;3;3;2;4;2;1;1;3;3;5;5
89;3;3;2;3;2;3;1;2;3;4;3;7
90;4;3;3;2;4;1;2;4;2;4;10;6
91;3;3;2;3;2;3;1;2;3;4;7;9
92;4;3;4;4;3;3;3;1;1;2;4;5
93;4;3;4;4;3;3;3;1;1;2;2;5
94;2;1;4;3;3;2;3;2;3;1;3;2
95;2;1;4;4;3;3;3;2;3;4;3;2
96;1;3;2;4;2;3;4;2;2;3;4;9
97;3;3;3;3;2;4;4;3;4;4;9;6
98;3;4;3;4;3;4;3;4;4;4;6;3
99;1;1;1;1;1;1;1;1;1;1;11;10
100;3;1;3;3;1;4;1;3;3;3;5;3
101;4;4;4;3;4;3;1;4;3;3;9;4
102;4;3;3;2;3;4;2;3;2;3;4;6
103;4;4;4;3;4;1;3;4;4;3;4;5
104;4;4;3;3;4;3;4;3;4;3;6;4
105;2;4;3;3;2;3;1;1;3;3;5;3
106;2;3;4;3;3;2;3;2;3;4;4;3
107;3;3;1;3;3;2;3;2;3;4;5;3
108;2;1;4;1;1;2;1;1;2;3;2;1
109;3;2;3;1;2;3;1;3;2;3;2;4
110;3;3;3;2;2;2;4;4;4;3;2;4
111;3;3;2;1;2;3;4;2;4;3;3;2
112;3;4;3;2;4;3;3;2;1;1;4;1
113;2;4;3;2;4;2;3;2;3;1;5;2
114;3;1;3;3;3;4;3;4;4;3;1;2
115;3;4;3;3;4;3;2;4;3;2;5;5
116;3;4;4;3;3;4;3;;4;3;5;4
117;3;4;3;1;2;4;3;2;3;4;7;9
118;3;3;3;2;2;3;3;3;2;4;8;4
119;3;4;4;3;2;2;4;2;1;3;1;1
120;2;3;3;3;3;3;2;2;3;4;3;5
121;3;3;4;4;4;2;4;1;2;3;2;4
122;3;2;4;4;3;2;3;3;3;3;5;4
123;2;2;4;2;2;3;2;2;2;4;2;5
124;3;3;2;3;3;4;3;3;3;2;3;4
125;3;3;2;3;3;4;3;3;3;2;1;3
126;3;2;3;2;3;2;3;1;3;2;4;3
127;3;4;4;2;1;2;4;4;3;4;2;4
128;4;2;2;1;3;2;1;2;1;2;2;4
129;3;4;3;1;3;3;3;3;3;3;3;2
130;2;3;3;2;2;3;3;2;1;3;3;3
131;2;1;2;4;4;4;3;2;1;3;3;4
132;3;4;3;4;3;3;2;3;3;4;2;2
133;4;4;4;3;4;1;1;4;2;2;4;5
134;3;2;3;4;2;3;4;2;3;4;5;6
135;3;3;2;3;3;4;3;3;3;2;3;4
